doc_no,request_dt,approval_dt,req_status,service_nm,system_cd,req_type,title,due_dt,requester_id,dev_lead_id,uat_lead_id,deployer_id,dml_lead_id
ITSM-2025-00019,2025-11-25 12:43:06,2025-11-25 18:43:06,APPROVED,개발포털,DEVP,AUTH,임시 접근 권한 부여,2025-12-06,19146,17505,13542,23338,
ITSM-2025-00020,2025-11-25 21:08:19,2025-11-27 06:08:19,APPROVED,신용평가시스템,CRED,DEV,세션 타임아웃 조정,2025-12-07,26576,23338,27378,10638,
ITSM-2025-00022,2025-11-27 05:13:08,2025-11-28 06:13:08,APPROVED,고객포털,PORTAL,DEV,수수료 계산 수정,2025-12-06,19232,29726,13507,23338,
ITSM-2025-00024,2025-11-27 15:10:58,2025-11-29 09:10:58,APPROVED,경영관리시스템,ERP,DEV,수수료 계산 수정,2025-12-03,18583,29121,28173,10212,
ITSM-2025-00025,2025-12-01 11:42:31,2025-12-02 01:42:31,APPROVED,데이터웨어하우스,DW,DEV,리포트 기능 추가,2025-12-08,18346,29277,11873,23737,
ITSM-2025-00028,2025-12-03 09:44:47,2025-12-04 10:44:47,APPROVED,신용평가시스템,CRED,DEV,배치 스케줄 변경,2025-12-08,20688,23193,15169,10116,
ITSM-2025-00026,2025-12-03 18:28:32,2025-12-05 16:28:32,APPROVED,신용평가시스템,CRED,AUTH,임시 접근 권한 부여,2025-12-15,12582,27036,13349,15231,
ITSM-2025-00029,2025-12-04 06:38:53,2025-12-05 15:38:53,APPROVED,개발포털,DEVP,DEV,API 연동 개발,2025-12-16,19299,29309,25947,18238,
ITSM-2025-00027,2025-12-04 16:18:17,2025-12-05 14:18:17,APPROVED,경영관리시스템,ERP,DEV,리포트 기능 추가,2025-12-14,11543,29726,24239,10256,
ITSM-2025-00162,2025-12-07 23:43:11,,REVIEW,고객포털,PORTAL,DEV,로그인 로직 개선,2025-12-14,22608,26959,27856,15294,
ITSM-2025-00032,2025-12-08 10:20:20,2025-12-08 17:20:20,APPROVED,개발포털,DEVP,DEV,로그인 로직 개선,2025-12-11,10212,14090,15216,25574,
ITSM-2025-00033,2025-12-08 17:15:25,2025-12-10 17:15:25,APPROVED,고객포털,PORTAL,EMER,긴급 데이터 보정,2025-12-22,18346,20756,10235,15231,
ITSM-2025-00034,2025-12-09 08:10:11,2025-12-10 06:10:11,APPROVED,경영관리시스템,ERP,DDL,테이블 파티셔닝,2025-12-18,15851,15216,28128,15294,17304
ITSM-2025-00031,2025-12-11 04:15:50,2025-12-12 11:15:50,APPROVED,신용평가시스템,CRED,DEV,로그인 로직 개선,2025-12-18,15854,17133,15094,13789,
ITSM-2025-00030,2025-12-11 08:25:39,2025-12-11 22:25:39,APPROVED,고객포털,PORTAL,DML,테스트 데이터 삭제,2025-12-15,15851,16515,12292,10812,16232
ITSM-2025-00037,2025-12-16 09:12:55,2025-12-18 04:12:55,APPROVED,개발포털,DEVP,EMER,장애 대응 패치,2025-12-19,12582,17288,14090,18123,
ITSM-2025-00042,2025-12-16 16:43:19,2025-12-17 22:43:19,APPROVED,고객포털,PORTAL,DEV,API 연동 개발,2025-12-23,18583,25054,13789,10638,
ITSM-2025-00039,2025-12-17 20:20:15,2025-12-18 11:20:15,APPROVED,신용평가시스템,CRED,DEV,배치 스케줄 변경,2025-12-25,13224,14207,13789,10018,
ITSM-2025-00040,2025-12-17 22:45:51,2025-12-19 13:45:51,APPROVED,개발포털,DEVP,DEV,리포트 기능 추가,2025-12-20,13789,15169,29726,18743,
ITSM-2025-00036,2025-12-17 23:54:05,2025-12-18 06:54:05,APPROVED,신용평가시스템,CRED,AUTH,배치 계정 권한 추가,2025-12-22,14083,27856,10212,18123,
ITSM-2025-00038,2025-12-19 05:26:27,2025-12-20 22:26:27,APPROVED,경영관리시스템,ERP,DEV,로그인 로직 개선,2025-12-25,14176,14288,18228,10812,
ITSM-2025-00035,2025-12-19 11:43:08,2025-12-19 17:43:08,APPROVED,경영관리시스템,ERP,DEV,이체 한도 조정,2025-12-25,11664,21724,16515,21327,
ITSM-2025-00041,2025-12-19 14:49:44,2025-12-21 00:49:44,APPROVED,고객포털,PORTAL,DEV,API 연동 개발,2025-12-27,14575,19338,29782,25574,
ITSM-2025-00044,2025-12-22 09:40:03,2025-12-22 13:40:03,APPROVED,데이터웨어하우스,DW,AUTH,임시 접근 권한 부여,2025-12-27,21149,24857,14572,10256,
ITSM-2025-00047,2025-12-22 18:13:31,2025-12-24 06:13:31,APPROVED,신용평가시스템,CRED,DML,마스터 코드 추가,2026-01-01,13789,18698,17304,21948,19108
ITSM-2025-00167,2025-12-22 23:36:38,,REVIEW,경영관리시스템,ERP,DEV,이체 한도 조정,2025-12-29,18346,29121,20000,13789,
ITSM-2025-00043,2025-12-23 09:05:05,2025-12-24 23:05:05,APPROVED,고객포털,PORTAL,DEV,로그인 로직 개선,2026-01-04,29121,24288,23193,22504,
ITSM-2025-00046,2025-12-23 14:30:41,2025-12-25 09:30:41,APPROVED,경영관리시스템,ERP,DML,잘못된 거래 데이터 수정,2025-12-31,29819,27502,15093,25574,15294
ITSM-2025-00045,2025-12-23 22:40:10,2025-12-24 09:40:10,APPROVED,개발포털,DEVP,DDL,컬럼 추가,2026-01-06,13349,19722,22433,15231,13224
ITSM-2025-00051,2025-12-29 10:25:15,2025-12-30 08:25:15,APPROVED,경영관리시스템,ERP,DML,마스터 코드 추가,2026-01-01,22793,26617,17457,18123,16300
ITSM-2025-00048,2025-12-29 21:26:14,2025-12-31 00:26:14,APPROVED,신용평가시스템,CRED,DEV,로그인 로직 개선,2026-01-12,22793,26692,28346,15182,
ITSM-2025-00053,2025-12-31 03:48:13,2025-12-31 23:48:13,APPROVED,개발포털,DEVP,DEV,수수료 계산 수정,2026-01-03,11543,18773,24014,10116,
ITSM-2025-00050,2025-12-31 15:04:30,2026-01-01 23:04:30,APPROVED,고객포털,PORTAL,DDL,신규 테이블 생성,2026-01-13,20688,21724,13060,28667,17288
ITSM-2025-00052,2025-12-31 15:27:37,2026-01-02 06:27:37,APPROVED,고객포털,PORTAL,DEV,리포트 기능 추가,2026-01-07,29819,28150,27502,16967,
ITSM-2026-00049,2026-01-01 00:21:53,2026-01-02 16:21:53,APPROVED,경영관리시스템,ERP,DML,테스트 데이터 삭제,2026-01-04,10812,20000,27036,18238,25159
ITSM-2026-00057,2026-01-05 20:41:12,2026-01-06 09:41:12,APPROVED,경영관리시스템,ERP,DDL,테이블 파티셔닝,2026-01-13,14176,13486,11268,10018,24132
ITSM-2026-00055,2026-01-06 12:29:03,2026-01-07 16:29:03,APPROVED,데이터웨어하우스,DW,DEV,리포트 기능 추가,2026-01-15,11029,15410,16515,22504,
ITSM-2026-00165,2026-01-07 11:23:01,,REVIEW,데이터웨어하우스,DW,DEV,이체 한도 조정,2026-01-14,22608,23193,28250,22504,
ITSM-2026-00054,2026-01-09 00:13:54,2026-01-09 12:13:54,APPROVED,경영관리시스템,ERP,EMER,긴급 핫픽스 배포,2026-01-17,13224,28150,29498,15182,
ITSM-2026-00058,2026-01-09 01:21:44,2026-01-10 01:21:44,APPROVED,고객포털,PORTAL,DEV,API 연동 개발,2026-01-19,25337,29498,15216,18238,
ITSM-2026-00056,2026-01-09 04:12:36,2026-01-09 11:12:36,APPROVED,경영관리시스템,ERP,DEV,UI 버그 수정,2026-01-19,21149,17288,19108,15294,
ITSM-2026-00064,2026-01-12 12:36:06,2026-01-14 05:36:06,APPROVED,고객포털,PORTAL,DEV,UI 버그 수정,2026-01-22,10638,17288,12226,10212,
ITSM-2026-00061,2026-01-12 22:33:28,2026-01-14 21:33:28,APPROVED,데이터웨어하우스,DW,DEV,API 연동 개발,2026-01-22,14083,17133,13507,16967,
ITSM-2026-00060,2026-01-14 02:09:50,2026-01-14 22:09:50,APPROVED,데이터웨어하우스,DW,DEV,이체 한도 조정,2026-01-18,22622,24288,13542,10018,
ITSM-2026-00168,2026-01-14 02:49:39,,DRAFT,신용평가시스템,CRED,DEV,UI 버그 수정,2026-01-21,14176,13779,14207,10116,
ITSM-2026-00063,2026-01-16 03:04:28,2026-01-16 19:04:28,APPROVED,신용평가시스템,CRED,DEV,세션 타임아웃 조정,2026-01-19,13394,28173,15851,21327,
ITSM-2026-00059,2026-01-16 06:16:37,2026-01-16 12:16:37,APPROVED,고객포털,PORTAL,DDL,신규 테이블 생성,2026-01-29,21149,14593,12292,10116,14340
ITSM-2026-00062,2026-01-16 07:20:38,2026-01-16 14:20:38,APPROVED,고객포털,PORTAL,DEV,이체 한도 조정,2026-01-29,22608,23338,15851,15231,
ITSM-2026-00067,2026-01-21 12:47:51,2026-01-23 05:47:51,APPROVED,경영관리시스템,ERP,DEV,이체 한도 조정,2026-01-25,13358,26635,20286,29526,
ITSM-2026-00069,2026-01-21 16:23:45,2026-01-21 21:23:45,APPROVED,고객포털,PORTAL,DEV,리포트 기능 추가,2026-01-25,15064,11253,14828,10256,
ITSM-2026-00068,2026-01-22 06:51:12,2026-01-22 14:51:12,APPROVED,고객포털,PORTAL,AUTH,관리자 계정 생성,2026-01-29,28711,28346,15182,10638,
ITSM-2026-00066,2026-01-23 07:31:45,2026-01-23 20:31:45,APPROVED,개발포털,DEVP,EMER,긴급 핫픽스 배포,2026-01-27,14340,17362,11986,15182,
ITSM-2026-00065,2026-01-23 15:55:06,2026-01-23 21:55:06,APPROVED,고객포털,PORTAL,DML,마스터 코드 추가,2026-02-05,22504,25947,10018,21327,20756
ITSM-2026-00163,2026-01-24 10:13:08,,REJECTED,데이터웨어하우스,DW,DEV,수수료 계산 수정,2026-01-31,22418,19012,20000,22504,
ITSM-2026-00077,2026-01-26 14:47:37,2026-01-27 07:47:37,APPROVED,신용평가시스템,CRED,DML,잔액 정합성 보정,2026-02-05,14083,19606,29782,13789,11454
ITSM-2026-00073,2026-01-26 19:28:04,2026-01-27 05:28:04,APPROVED,경영관리시스템,ERP,DEV,세션 타임아웃 조정,2026-01-29,29819,17362,27661,21948,
ITSM-2026-00076,2026-01-27 15:15:06,2026-01-27 19:15:06,APPROVED,개발포털,DEVP,DEV,배치 스케줄 변경,2026-02-01,12168,13789,17362,22130,
ITSM-2026-00071,2026-01-27 18:01:33,2026-01-28 09:01:33,APPROVED,고객포털,PORTAL,DEV,API 연동 개발,2026-02-03,17055,27870,19105,18021,
ITSM-2026-00074,2026-01-28 09:43:24,2026-01-28 16:43:24,APPROVED,신용평가시스템,CRED,DML,잔액 정합성 보정,2026-02-10,20688,14828,27856,26171,19108
ITSM-2026-00072,2026-01-28 14:54:19,2026-01-29 15:54:19,APPROVED,신용평가시스템,CRED,DEV,이체 한도 조정,2026-02-08,15294,12292,26635,18021,
ITSM-2026-00075,2026-01-29 12:15:26,2026-01-29 20:15:26,APPROVED,데이터웨어하우스,DW,DEV,세션 타임아웃 조정,2026-02-03,25147,13542,28173,15231,
ITSM-2026-00070,2026-01-30 04:13:13,2026-01-31 08:13:13,APPROVED,신용평가시스템,CRED,DEV,API 연동 개발,2026-02-05,12254,28918,15410,23737,
ITSM-2026-00171,2026-02-02 09:34:54,,DRAFT,경영관리시스템,ERP,DEV,UI 버그 수정,2026-02-09,12254,17846,14593,10212,
ITSM-2026-00084,2026-02-02 16:18:28,2026-02-04 05:18:28,APPROVED,신용평가시스템,CRED,DEV,API 연동 개발,2026-02-07,14083,21270,25054,21327,
ITSM-2026-00082,2026-02-03 18:23:19,2026-02-04 05:23:19,APPROVED,경영관리시스템,ERP,DEV,이체 한도 조정,2026-02-12,16693,28346,19810,10256,
ITSM-2026-00080,2026-02-03 20:06:04,2026-02-05 12:06:04,APPROVED,개발포털,DEVP,DDL,컬럼 추가,2026-02-14,21327,17707,17457,22964,27378
ITSM-2026-00083,2026-02-04 19:05:54,2026-02-06 17:05:54,APPROVED,경영관리시스템,ERP,DEV,리포트 기능 추가,2026-02-14,18123,26635,24478,18238,
ITSM-2026-00081,2026-02-04 23:05:12,2026-02-06 06:05:12,APPROVED,고객포털,PORTAL,DEV,세션 타임아웃 조정,2026-02-09,11543,26561,12226,10638,
ITSM-2026-00085,2026-02-05 10:07:36,2026-02-06 20:07:36,APPROVED,경영관리시스템,ERP,EMER,긴급 핫픽스 배포,2026-02-18,24476,16515,17362,11916,
ITSM-2026-00079,2026-02-06 14:44:44,2026-02-08 11:44:44,APPROVED,개발포털,DEVP,DEV,수수료 계산 수정,2026-02-13,10800,12292,25054,10212,
ITSM-2026-00078,2026-02-06 16:55:14,2026-02-07 08:55:14,APPROVED,고객포털,PORTAL,AUTH,운영 DB 읽기 권한 부여,2026-02-11,12582,27378,26692,10812,
ITSM-2026-00172,2026-02-09 11:21:25,,REJECTED,데이터웨어하우스,DW,DEV,이체 한도 조정,2026-02-16,26010,26561,26561,10018,
ITSM-2026-00090,2026-02-09 19:51:50,2026-02-10 17:51:50,APPROVED,고객포털,PORTAL,AUTH,운영 DB 읽기 권한 부여,2026-02-20,25623,26692,29282,29526,
ITSM-2026-00092,2026-02-10 07:01:33,2026-02-12 04:01:33,APPROVED,신용평가시스템,CRED,DML,잔액 정합성 보정,2026-02-24,19146,26635,20276,25574,23338
ITSM-2026-00086,2026-02-10 12:53:41,2026-02-10 18:53:41,APPROVED,신용평가시스템,CRED,DEV,배치 스케줄 변경,2026-02-17,22504,13060,21436,23737,
ITSM-2026-00173,2026-02-10 17:52:05,,REVIEW,고객포털,PORTAL,DML,계정 상태 일괄 업데이트,2026-02-17,18924,24014,11253,16967,
ITSM-2026-00088,2026-02-12 00:49:23,2026-02-13 00:49:23,APPROVED,신용평가시스템,CRED,DEV,세션 타임아웃 조정,2026-02-26,10116,25054,21436,10106,
ITSM-2026-00087,2026-02-12 01:57:14,2026-02-12 06:57:14,APPROVED,데이터웨어하우스,DW,DEV,세션 타임아웃 조정,2026-02-23,24476,11873,29121,25574,
ITSM-2026-00091,2026-02-12 13:20:39,2026-02-12 19:20:39,APPROVED,경영관리시스템,ERP,DEV,UI 버그 수정,2026-02-23,29121,15294,23824,11916,
ITSM-2026-00089,2026-02-13 10:17:45,2026-02-15 01:17:45,APPROVED,경영관리시스템,ERP,DEV,세션 타임아웃 조정,2026-02-20,17501,19722,21934,22964,
ITSM-2026-00094,2026-02-16 20:28:06,2026-02-18 05:28:06,APPROVED,고객포털,PORTAL,DML,잘못된 거래 데이터 수정,2026-02-21,28918,26635,13224,28711,11253
ITSM-2026-00097,2026-02-18 19:44:58,2026-02-19 22:44:58,APPROVED,개발포털,DEVP,DEV,이체 한도 조정,2026-02-23,17628,11873,10235,21327,
ITSM-2026-00096,2026-02-18 22:27:24,2026-02-19 19:27:24,APPROVED,개발포털,DEVP,AUTH,관리자 계정 생성,2026-03-03,21118,23824,26617,19232,
ITSM-2026-00095,2026-02-19 14:15:13,2026-02-19 21:15:13,APPROVED,신용평가시스템,CRED,DEV,API 연동 개발,2026-02-25,17501,28150,10376,10812,
ITSM-2026-00093,2026-02-19 15:28:27,2026-02-20 17:28:27,APPROVED,개발포털,DEVP,DDL,신규 테이블 생성,2026-02-24,13358,19146,15293,10018,21436
ITSM-2026-00100,2026-02-23 14:50:18,2026-02-24 03:50:18,APPROVED,개발포털,DEVP,DML,잔액 정합성 보정,2026-03-08,10638,16012,19338,15182,21861
ITSM-2026-00098,2026-02-24 07:42:48,2026-02-24 17:42:48,APPROVED,고객포털,PORTAL,DDL,테이블 파티셔닝,2026-03-08,21850,11268,16222,22130,29876
ITSM-2026-00102,2026-02-25 11:52:57,2026-02-27 01:52:57,APPROVED,데이터웨어하우스,DW,DML,잔액 정합성 보정,2026-03-04,29155,18703,15216,21948,14288
ITSM-2026-00099,2026-02-25 17:44:29,2026-02-26 15:44:29,APPROVED,경영관리시스템,ERP,DML,잔액 정합성 보정,2026-03-06,26617,24857,26640,18238,11986
ITSM-2026-00101,2026-02-26 10:25:26,2026-02-27 21:25:26,APPROVED,데이터웨어하우스,DW,DEV,리포트 기능 추가,2026-03-09,14884,18698,14575,10212,
ITSM-2026-00108,2026-03-02 22:25:42,2026-03-03 21:25:42,APPROVED,고객포털,PORTAL,DEV,리포트 기능 추가,2026-03-15,14176,15094,14120,28667,
ITSM-2026-00105,2026-03-03 11:38:25,2026-03-04 03:38:25,APPROVED,고객포털,PORTAL,AUTH,임시 접근 권한 부여,2026-03-06,11916,24358,18748,15294,
ITSM-2026-00107,2026-03-04 22:49:11,2026-03-05 14:49:11,APPROVED,개발포털,DEVP,DML,잔액 정합성 보정,2026-03-07,20688,21850,28250,18123,19810
ITSM-2026-00109,2026-03-05 07:14:34,2026-03-06 21:14:34,APPROVED,신용평가시스템,CRED,DEV,로그인 로직 개선,2026-03-13,25147,27661,19146,10256,
ITSM-2026-00106,2026-03-05 09:51:18,2026-03-06 08:51:18,APPROVED,개발포털,DEVP,EMER,긴급 핫픽스 배포,2026-03-15,15854,22433,11268,29526,
ITSM-2026-00110,2026-03-05 15:43:03,2026-03-07 01:43:03,APPROVED,고객포털,PORTAL,DEV,배치 스케줄 변경,2026-03-14,24476,13060,29277,11916,
ITSM-2026-00104,2026-03-05 15:47:17,2026-03-07 11:47:17,APPROVED,신용평가시스템,CRED,DML,마스터 코드 추가,2026-03-11,10819,13224,15182,15294,26561
ITSM-2026-00103,2026-03-05 16:50:08,2026-03-06 04:50:08,APPROVED,데이터웨어하우스,DW,EMER,긴급 핫픽스 배포,2026-03-13,10106,18773,17505,28667,
ITSM-2026-00114,2026-03-09 19:50:37,2026-03-11 02:50:37,APPROVED,데이터웨어하우스,DW,EMER,긴급 데이터 보정,2026-03-22,11643,19146,13665,10638,
ITSM-2026-00112,2026-03-10 08:29:07,2026-03-10 19:29:07,APPROVED,데이터웨어하우스,DW,AUTH,배치 계정 권한 추가,2026-03-16,17055,13507,15064,18743,
ITSM-2026-00113,2026-03-10 12:20:12,2026-03-11 23:20:12,APPROVED,신용평가시스템,CRED,DML,마스터 코드 추가,2026-03-21,14884,17457,25083,28667,27036
ITSM-2026-00117,2026-03-11 01:42:52,2026-03-11 16:42:52,APPROVED,고객포털,PORTAL,DEV,UI 버그 수정,2026-03-25,14340,27870,29498,22130,
ITSM-2026-00116,2026-03-12 05:00:41,2026-03-13 03:00:41,APPROVED,데이터웨어하우스,DW,DEV,로그인 로직 개선,2026-03-25,12168,13789,24239,10812,
ITSM-2026-00111,2026-03-12 13:06:33,2026-03-13 00:06:33,APPROVED,경영관리시스템,ERP,DML,계정 상태 일괄 업데이트,2026-03-26,26635,20276,24358,28711,14572
ITSM-2026-00115,2026-03-13 16:48:43,2026-03-14 20:48:43,APPROVED,개발포털,DEVP,DML,테스트 데이터 삭제,2026-03-23,15064,29498,29121,28711,28150
ITSM-2026-00175,2026-03-14 00:58:29,,REJECTED,개발포털,DEVP,DML,잘못된 거래 데이터 수정,2026-03-21,18346,23145,20929,18238,
ITSM-2026-00119,2026-03-16 17:49:59,2026-03-17 02:49:59,APPROVED,고객포털,PORTAL,DML,잔액 정합성 보정,2026-03-30,10638,22098,25054,22504,13486
ITSM-2026-00118,2026-03-16 20:32:04,2026-03-18 02:32:04,APPROVED,개발포털,DEVP,DML,잘못된 거래 데이터 수정,2026-03-27,22608,17288,26617,13789,16232
ITSM-2026-00124,2026-03-17 04:17:01,2026-03-17 10:17:01,APPROVED,경영관리시스템,ERP,DEV,리포트 기능 추가,2026-03-28,18021,26561,16222,22504,
ITSM-2026-00125,2026-03-17 11:35:22,2026-03-18 11:35:22,APPROVED,경영관리시스템,ERP,DEV,이체 한도 조정,2026-03-20,27671,23145,13507,21327,
ITSM-2026-00166,2026-03-17 19:35:42,,REVIEW,데이터웨어하우스,DW,DDL,테이블 파티셔닝,2026-03-24,25147,10018,24358,13789,
ITSM-2026-00120,2026-03-18 07:18:18,2026-03-18 22:18:18,APPROVED,고객포털,PORTAL,DML,테스트 데이터 삭제,2026-03-30,13368,29726,14828,10018,11454
ITSM-2026-00123,2026-03-18 15:27:48,2026-03-20 05:27:48,APPROVED,경영관리시스템,ERP,DDL,컬럼 추가,2026-03-25,21118,18703,21861,18021,16012
ITSM-2026-00121,2026-03-19 06:43:12,2026-03-20 13:43:12,APPROVED,데이터웨어하우스,DW,DDL,컬럼 추가,2026-03-23,10638,15294,17362,18238,15064
ITSM-2026-00122,2026-03-20 10:30:26,2026-03-22 02:30:26,APPROVED,데이터웨어하우스,DW,DDL,신규 테이블 생성,2026-03-31,28448,10235,13542,10638,26635
ITSM-2026-00126,2026-03-23 22:33:14,2026-03-24 05:33:14,APPROVED,데이터웨어하우스,DW,DDL,테이블 파티셔닝,2026-04-05,15064,13349,12292,28667,19108
ITSM-2026-00130,2026-03-24 20:44:51,2026-03-25 10:44:51,APPROVED,고객포털,PORTAL,AUTH,배치 계정 권한 추가,2026-04-02,16539,20929,21436,10812,
ITSM-2026-00128,2026-03-25 05:24:04,2026-03-25 09:24:04,APPROVED,경영관리시스템,ERP,DDL,테이블 파티셔닝,2026-04-06,23777,16232,25159,10256,18703
ITSM-2026-00129,2026-03-25 20:37:38,2026-03-26 19:37:38,APPROVED,개발포털,DEVP,DEV,수수료 계산 수정,2026-03-30,26576,14090,10018,23737,
ITSM-2026-00127,2026-03-26 04:43:46,2026-03-27 02:43:46,APPROVED,경영관리시스템,ERP,DML,잔액 정합성 보정,2026-04-02,11543,24288,23861,11916,23074
ITSM-2026-00132,2026-03-26 10:46:21,2026-03-26 17:46:21,APPROVED,개발포털,DEVP,DML,잔액 정합성 보정,2026-04-03,15293,28128,29626,15182,28150
ITSM-2026-00131,2026-03-27 02:09:41,2026-03-28 10:09:41,APPROVED,신용평가시스템,CRED,AUTH,배치 계정 권한 추가,2026-04-08,26010,26696,18773,18123,
ITSM-2026-00133,2026-03-30 21:41:08,2026-03-31 22:41:08,APPROVED,고객포털,PORTAL,DEV,로그인 로직 개선,2026-04-04,17055,20101,14120,10106,
ITSM-2026-00134,2026-03-31 02:18:13,2026-03-31 22:18:13,APPROVED,경영관리시스템,ERP,DEV,수수료 계산 수정,2026-04-09,23087,14288,15410,21948,
ITSM-2026-00135,2026-04-01 06:12:22,2026-04-01 10:12:22,APPROVED,개발포털,DEVP,DEV,수수료 계산 수정,2026-04-09,24239,14593,20000,23338,
ITSM-2026-00137,2026-04-02 13:20:08,2026-04-02 17:20:08,APPROVED,경영관리시스템,ERP,DEV,로그인 로직 개선,2026-04-13,15169,10235,16012,16967,
ITSM-2026-00136,2026-04-03 02:08:23,2026-04-04 08:08:23,APPROVED,개발포털,DEVP,DML,계정 상태 일괄 업데이트,2026-04-07,23833,18123,24857,10106,14593
ITSM-2026-00138,2026-04-03 14:47:13,2026-04-04 22:47:13,APPROVED,고객포털,PORTAL,DML,잔액 정합성 보정,2026-04-12,21118,19108,11454,22504,11873
ITSM-2026-00143,2026-04-06 17:01:23,2026-04-08 10:01:23,APPROVED,경영관리시스템,ERP,EMER,긴급 데이터 보정,2026-04-12,15064,13060,18228,15231,
ITSM-2026-00141,2026-04-07 03:12:28,2026-04-07 15:12:28,APPROVED,신용평가시스템,CRED,DML,마스터 코드 추가,2026-04-16,13789,23861,24132,18238,15293
ITSM-2026-00142,2026-04-07 03:17:43,2026-04-07 20:17:43,APPROVED,개발포털,DEVP,AUTH,배치 계정 권한 추가,2026-04-10,18924,24478,14575,11916,
ITSM-2026-00139,2026-04-07 04:26:00,2026-04-08 21:26:00,APPROVED,신용평가시스템,CRED,DEV,수수료 계산 수정,2026-04-20,13358,10018,26692,10638,
ITSM-2026-00144,2026-04-07 05:21:45,2026-04-08 14:21:45,APPROVED,개발포털,DEVP,DEV,수수료 계산 수정,2026-04-11,11307,14340,24857,10116,
