rule_id,rule_nm,audit_domain,severity,severity_score,source_law,source_article,check_target,condition_desc,violation_count,yn_violation,risk_deduction,remediation
R012,긴급배포 사후승인 미완료,변경관리,HIGH,10,전자금융감독규정,제8조의3 정보기술부문 내부통제를 위한 직무분리 기준,"deploy_log, itsm_req",긴급배포 후 CR이 미결재(DRAFT) 상태로 방치된 건,0,N,0,긴급배포 후 48시간 이내 사후결재 완료 의무화
R013,비밀번호 장기 미변경 점검,접근통제,MEDIUM,5,전자금융감독규정,제17조제2호 공개용 웹서버 사용자계정 접근 제한,sys_account,활성 계정의 비밀번호가 90일 이상 변경되지 않은 경우,28,Y,5,90일 주기 비밀번호 변경 정책 적용
R014,대량 데이터 다운로드 점검,접근통제,MEDIUM,5,전자금융감독규정,"제17조제3호 DMZ구간 내 이용자 정보 저장금지, 개인정보 유출방지",access_log,단일 사용자가 하루에 DOWNLOAD 액션을 10회 이상 수행한 경우,0,N,0,대량 다운로드 사유 확인 및 DLP 정책 강화
R015,서비스계정 권한검토 미수행,접근통제,MEDIUM,5,전자금융감독규정,제8조의3 정보기술부문 내부통제를 위한 직무분리 기준,sys_account,서비스계정(SVC)의 권한검토가 180일 초과 지연된 경우,0,N,0,서비스계정 포함 전체 계정 정기검토 수행
R016,권한 초과 접근 시도 탐지,접근통제,HIGH,10,개인정보 보호법,제59조제3호: 허용된 권한을 초과하여 개인정보 이용/변경/유출 금지,"access_log, sys_account",READ 권한만 보유한 계정이 UPDATE/DELETE/DOWNLOAD 등 쓰기 작업을 시도한 경우 권한 초과 접근으로 판단,0,N,0,권한 초과 접근 건에 대해 원인 분석 및 권한 재검토 실시
R017,개인정보 대량 다운로드 탐지,접근통제,HIGH,10,개인정보 보호법,제59조제2호: 업무상 알게 된 개인정보 누설/권한없는 제공 금지,access_log,정보계 시스템(INFO)에서 동일 직원이 하루 10회 이상 DOWNLOAD 수행 시 대량 유출 위험으로 탐지,0,N,0,대량 다운로드 사유 확인 및 DLP 정책 강화 검토
R018,퇴직자 계정 무단 접근 탐지,접근통제,HIGH,10,개인정보 보호법,제59조제3호: 정당한 권한 없이 개인정보 이용 금지,"access_log, emp_master",퇴직일 이후에도 시스템 접근 기록이 존재하는 경우 무권한 접근으로 판단,0,N,0,퇴직자 계정 즉시 비활성화 및 접근 차단 프로세스 점검
R019,업무외 시간 개인정보 접근 탐지,접근통제,MEDIUM,5,개인정보 보호법,제59조: 개인정보 부정 취득/이용 금지,access_log,22시~06시 사이 정보계(INFO) 시스템 접근 시 비인가 접근 위험으로 탐지,0,N,0,야간 접근 사유 확인 및 업무외 시간 접근통제 정책 수립
R020,비활성 계정 장기 미정리 점검,접근통제,MEDIUM,5,개인정보 보호법,제59조: 권한 없는 개인정보 이용 방지를 위한 계정관리,"sys_account, access_log",90일 이상 접근 이력 없는 ACTIVE 계정은 불필요 권한 보유 위험으로 판단,980,Y,5,미사용 계정 비활성화 또는 삭제 처리
R021,내부망-개발망 보안솔루션 공유,접근통제,MEDIUM,5,전자금융감독규정 해설서(2025.8),"연구개발망은 내부업무망과 분리된 독립 인프라로 구성, 내부망 자원 연동 사용 불가",sys_account,동일 직원이 내부업무시스템(CORE/IBANK/ADMIN)과 개발시스템(DEVP) 계정을 동시 보유하고 양쪽 모두 ACTIVE 상태인 경우 점검,0,N,0,내부망과 개발망 계정 분리 또는 망분리 환경 재검토
R022,취약 원격접속 프로토콜 사용,접근통제,HIGH,10,전자금융감독규정 해설서(2025.8),"RDP 등 취약점 지속 발표 프로토콜 미사용 권고, 서비스 종료 원격접속 프로그램 사용 불가",access_log,접속 로그에서 RDP 관련 포트(3389) 또는 특정 취약 원격접속 패턴이 확인되는 경우,0,N,0,VPN/VDI 등 보안 원격접속 방식으로 전환
R023,정보보호시스템 원격관리 금지,접근통제,HIGH,10,전자금융감독규정 해설서(2025.8),"정보보호시스템 원격관리 금지, 불가피시 전용회선 및 접근통제 대책 수립 필요",access_log,보안시스템(SECUR role) 관리자가 외부IP(사내IP 대역 외)에서 접속한 경우,0,N,0,원격관리 차단 또는 전용회선/VPN 접근통제 대책 수립
R024,보안정책 변경 기록 미보관,운영통제,MEDIUM,5,전자금융감독규정 해설서(2025.8),보안정책 승인/적용/등록/변경/삭제 기록 보관 및 적정성 주기적 점검,itsm_req,보안/권한 관련 변경요청(AUTH 타입)이 승인 없이 종결되거나 기록이 누락된 경우,0,N,0,보안정책 변경 시 승인 절차 준수 및 기록 보관 강화
R025,운영결과 1년 미만 보존,운영통제,MEDIUM,5,전자금융감독규정 해설서(2025.8),정보보호시스템 운영결과 1년 이상 보존,access_log,접근로그 중 1년 이상 경과된 데이터 존재 여부 확인(보존 적정성),1,Y,5,로그 보존 정책을 1년 이상으로 설정 및 이행
R026,비상대응훈련 미실시,운영통제,HIGH,10,전자금융감독규정 제24조,연 1회 비상대응훈련 실시 및 금융위원회 보고 의무,backup_log,최근 1년간 복구테스트(yn_restore_test=Y) 수행 이력이 없는 경우,0,N,0,연 1회 이상 재해복구 전환훈련 포함 비상대응훈련 실시
R027,중요 조작 사전승인 미이행,변경관리,HIGH,10,전자금융감독규정 해설서(2025.8),중요 조작에 대한 책임자 사전 승인으로 기밀성/무결성/가용성 훼손 예방,deploy_log,운영환경(PRD) 배포 중 사전승인 없이(사후승인) 진행된 건,1,Y,10,운영환경 배포 전 책임자 사전승인 절차 의무화
R028,긴급배포 사후승인 미처리,변경관리,HIGH,10,전자금융감독규정 해설서(2025.8),"중요 조작 책임자 승인 필요, 긴급시에도 사후 승인 완료 필수",deploy_log,긴급배포(yn_emergency=Y) 후 승인이 완료되지 않은 건,0,N,0,긴급배포 후 익영업일 내 사후승인 완료
R029,무선통신망 미승인 사용,접근통제,MEDIUM,5,전자금융감독규정 해설서(2025.8),"무선통신망 이용 업무는 최소화, 정보보호최고책임자 승인 후 사전 지정",access_log,무선통신망 대역(예: WiFi 대역 IP)에서 핵심시스템 접근 시 승인 여부 점검,0,N,0,무선통신망 이용 시 CISO 사전승인 및 업무 최소화
R030,전산실 외부통신망 분리 위반,접근통제,HIGH,10,전자금융감독규정 해설서(2025.8),전산실 내 정보처리시스템 및 직접 접속 단말기는 외부통신망과 물리적 분리,access_log,핵심시스템(CORE)에 외부IP에서 직접 접속한 경우,0,N,0,"전산실 시스템 외부망 접속 차단, 망분리 환경 점검"
R031,백업 실패 미조치,운영통제,HIGH,10,전자금융감독규정 해설서(2025.8),해킹 등 전자적 침해 피해 최소화 및 신속한 복구 대책 수립/운용,backup_log,백업 상태가 FAIL 또는 PARTIAL인 건수,0,N,0,"백업 실패 원인 분석 및 재수행, 모니터링 강화"
R032,권한검토 주기 초과,접근통제,MEDIUM,5,전자금융감독규정 해설서(2025.8),적용된 보안정책의 적정성을 주기적으로 점검,sys_account,권한검토 후 180일 초과된 활성 계정,12,Y,5,180일 이내 권한 적정성 검토 실시
R033,연구개발망 비인가 SaaS 접근,접근통제,MEDIUM,5,전자금융감독규정 해설서(2025.8),연구개발 목적 외 SaaS 등은 연구개발망에서 접근 불가,access_log,연구개발망(DEVP 시스템)에서 업무시간 외 또는 개발 역할이 아닌 직원의 비정상 접근 패턴 탐지,0,N,0,비개발 인력의 연구개발망 접근 권한 회수 및 접근통제 강화
R034,전산실 출입권한 미검토,접근통제,HIGH,10,전자금융감독규정 제9조,전산실 건물 출입은 인가된 직원만 가능하도록 출입통제체계 마련,sys_account,ADMIN 시스템(전산실 관련) 계정의 권한 검토가 180일 이상 경과된 경우,5,Y,10,전산실 출입 권한 정기 검토(180일 이내) 및 불필요 권한 회수
R035,퇴사자 전산실 계정 미회수,접근통제,HIGH,10,전자금융감독규정 제9조,전산실 건물 출입은 인가된 직원만 가능하도록 출입통제체계 마련,sys_account,퇴사자(yn_employed='N')의 ADMIN 시스템 계정이 여전히 ACTIVE 상태인 경우,0,N,0,퇴사 즉시 전산실 출입 권한 및 관련 계정 비활성화
R036,전산실 비인가 접근 시도,접근통제,HIGH,10,전자금융감독규정 제9조,출입기록의 전자적 저장 및 이상징후 탐지체계 마련,access_log,ADMIN 시스템 로그인 실패(FAIL)가 다수 발생한 경우 (이상징후),0,N,0,로그인 실패 다발 계정 잠금 및 비인가 접근 시도 원인 조사
R037,전산실 업무외시간 접근,접근통제,MEDIUM,5,전자금융감독규정 제9조,출입기록의 전자적 저장 및 이상징후 탐지체계 마련,access_log,ADMIN 시스템에 업무시간 외(22:00~06:00) 접근이 발생한 경우,3,Y,5,업무시간 외 전산실 접근 사유 확인 및 사전승인 절차 강화
R038,전산실 백업 실패,운영통제,HIGH,10,전자금융감독규정 제9조,재난으로부터 업무연속성 확보를 위해 보호대책 마련,backup_log,최근 30일 내 백업 실패(FAIL/PARTIAL) 이력이 존재하는 경우,0,N,0,"백업 실패 원인 분석 및 재수행, 백업 모니터링 체계 강화"
R039,복구테스트 미수행,운영통제,MEDIUM,5,전자금융감독규정 제9조,재난으로부터 업무연속성 확보를 위해 보호대책 마련,backup_log,FULL 백업 후 복구테스트(yn_restore_test)를 수행하지 않은 경우,0,N,0,정기 복구테스트 수행 및 결과 문서화
R040,비상대응훈련 연1회 미실시,운영통제,HIGH,10,전자금융감독규정,제24조 비상대응훈련 연 1회 실시 및 결과 보고 의무,backup_log,연간 복구테스트(yn_restore_test=Y) 수행 이력이 없는 시스템 점검 - 비상대응훈련의 일환으로 재해복구전환훈련 포함 여부 확인,0,N,0,연 1회 이상 재해복구전환훈련 포함 비상대응훈련 실시
R041,비밀번호 주기적 변경 미준수,접근통제,MEDIUM,5,전자금융감독규정,제19조의2 인증수단 주기적 변경 등 관리방안 수립운용 의무,sys_account,활성 계정 중 비밀번호 변경 후 90일 초과된 계정 점검,28,Y,5,90일 주기 비밀번호 변경 정책 적용 및 시스템 강제화
R042,인증오류 후 계정 잠금 미처리,접근통제,HIGH,10,전자금융감독규정,제19조의2 인증오류 발생시 처리 절차 포함 관리방안 수립,access_log,동일 계정 로그인 실패 5회 연속 후에도 계정 잠금(LOCKED) 미처리 건,0,N,0,로그인 5회 실패 시 자동 계정 잠금 정책 적용
R043,정보보호위원회 미운영 점검,운영통제,HIGH,10,전자금융감독규정,제8조의2 정보보호위원회 설치 운영 의무,emp_master,정보보호최고책임자(SECUR) 역할 재직자 존재 여부로 위원회 운영 간접 점검,0,N,0,정보보호최고책임자 지정 및 정보보호위원회 구성 운영
R044,사고보고 절차 미준수 배포,변경관리,HIGH,10,전자금융감독규정,"제37조의5 사고 발생시 지체없이 보고, 은폐시 징계 조치",deploy_log,긴급배포(yn_emergency=Y) 후 ITSM 문서 미등록(doc_no IS NULL) 건 - 사고보고 누락 가능성,0,N,0,긴급배포 시에도 사후 CR 등록 및 보고 절차 준수
R045,이용자 비밀번호 암호화 미적용,접근통제,HIGH,10,전자금융감독규정,제34조의3 이용자 비밀번호 암호화 보관 및 조회 불가 조치,sys_account,비밀번호 변경일이 없는(NULL) 활성 계정 - 초기 비밀번호 미암호화 의심,0,N,0,모든 비밀번호 암호화 저장 및 초기 비밀번호 변경 강제
R046,비밀번호 오류 횟수 초과 미차단,접근통제,HIGH,10,전자금융감독규정,제34조의3제2항제2호 정해진 횟수 이상 입력오류시 거래 중지,access_log,로그인 실패 5회 이상 후 동일 세션에서 성공 로그인 발생 - 차단 미작동,0,N,0,5회 연속 실패 시 계정 잠금 및 본인확인 절차 적용
R047,전산실 출입통제 미흡,접근통제,MEDIUM,5,전자금융감독규정,제9조 전산실 건물 출입통제 보안대책 수립운용 의무,access_log,관리시스템(ADMIN) 업무외 시간(22:00~06:00) 물리적 접근 의심 로그,3,Y,5,전산실 출입 시 업무외 시간 승인 절차 및 CCTV 모니터링
R048,보안성심의 미실시 배포,변경관리,HIGH,10,전자금융감독규정,제36조 신규 전자금융업무 수행 전 보안성심의 실시 의무,deploy_log,운영환경(PRD) 배포 시 승인된 CR 없이 배포된 건 - 보안성심의 누락 가능성,1,Y,10,운영 배포 전 보안성심의 완료 및 CR 승인 필수화
R049,보안성심의 결과 미보고,변경관리,MEDIUM,5,전자금융감독규정,제36조제2항 보안성심의 후 30일 이내 결과보고서 제출,deploy_log,운영 배포 후 30일 경과했으나 ITSM 문서 상태가 CLOSED 아닌 건,6,Y,5,배포 완료 후 30일 이내 보안성심의 결과 보고 및 CR 종결
R050,퇴직자 계정 미회수,접근통제,HIGH,10,전자금융감독규정,제19조의2 인증수단 발급보관 등 관리방안 수립운용 의무,sys_account,퇴사자(yn_employed=N)의 활성 계정(ACTIVE) 존재 여부 점검,0,N,0,퇴사 즉시 모든 시스템 계정 비활성화 처리
R051,퇴사 후 시스템 접근,접근통제,HIGH,10,전자금융감독규정,제19조의2 인증수단 관리방안 수립운용 의무,access_log,퇴사일 이후 시스템 접근 로그 존재 여부 (파생컬럼 활용),0,N,0,퇴사 처리와 계정 비활성화 동기화 즉시 적용
R052,직무분리 위반 배포,변경관리,HIGH,10,전자금융감독규정,제8조의2 정보보호위원회 심의 및 전산보안 규정 준수,deploy_log,변경요청 신청자와 배포자가 동일인인 경우 (파생컬럼 활용),1,Y,10,개발-운영 직무분리 원칙 준수 및 교차 검증 체계 수립
R053,사후승인 배포,변경관리,HIGH,10,전자금융감독규정,제36조 보안성심의 실시 후 업무 수행 의무,deploy_log,배포일시가 CR 승인일시보다 앞선 경우 (파생컬럼 활용),1,Y,10,배포 전 CR 승인 완료 필수화 및 시스템 통제 적용
R054,ADMIN 계정 과다 부여,접근통제,MEDIUM,5,전자금융감독규정,제19조의2 인증수단 발급 관리방안 수립운용 의무,sys_account,시스템별 ADMIN 권한 계정이 전체의 10% 초과 여부 점검,0,N,0,최소권한 원칙에 따라 ADMIN 계정 최소화 및 정기 검토
R055,단말기 사용자 인가 기록 미유지,접근통제,HIGH,10,전자금융감독규정,제12조제2호 정보처리시스템 접속 단말기 정당한 사용자 확인 기록 유지,access_log,"정보처리시스템 접속 시 사용자 인증 기록(emp_id, src_ip, access_dt)이 누락된 로그가 있는지 점검",0,N,0,"접속 로그에 사용자ID, IP, 일시 필수 기록 보완"
R056,인가되지 않은 사용자 단말기 접근,접근통제,HIGH,10,전자금융감독규정,제12조제1호 단말기는 인가된 사용자만 사용할 수 있도록 관리,"access_log, sys_account",INACTIVE 또는 LOCKED 상태 계정으로 시스템 접속 시도(LOGIN) 성공 건 점검,0,N,0,비활성/잠금 계정의 시스템 접근 즉시 차단
R057,퇴사자 시스템 접근,접근통제,HIGH,10,전자금융감독규정,제12조제1호 인가된 사용자만 단말기 사용 관리,access_log,퇴사 후(yn_post_resign_access='Y') 시스템에 접근한 기록 점검,0,N,0,퇴사 즉시 모든 시스템 계정 비활성화 처리
R058,암호키 관리자 외 접근,접근통제,HIGH,10,전자금융감독규정,제19조제1항 암호프로그램 담당자 외 이용 통제,"access_log, emp_master",보안담당(SECUR) 역할이 아닌 직원이 암호/보안 관련 시스템(ADMIN) ADMIN 권한 접근 점검,0,N,0,암호시스템 접근권한 보안담당자로 제한
R059,업무외 시간 중요시스템 접근,접근통제,MEDIUM,5,전자금융감독규정,제12조제3호 중요단말기 강화된 보호대책 적용,access_log,업무외 시간(22:00~06:00)에 핵심시스템(CORE) 접근 건 점검,0,N,0,핵심시스템 야간접근 사전승인 절차 강화
R060,CR 없는 운영환경 무단배포,변경관리,HIGH,10,전자금융감독규정,제21조 정보처리시스템 구축 내부통제 절차 수립운용,deploy_log,운영환경(PRD) 배포 시 ITSM 변경요청서(doc_no)가 없는 건 점검,1,Y,10,운영배포 전 CR 필수 등록 및 승인 절차 준수
R061,변경관리 직무분리 위반,변경관리,HIGH,10,전자금융감독규정,제21조 정보처리시스템 구축 계약 내부통제 절차,"deploy_log, itsm_req",변경요청 신청자와 배포담당자가 동일인인 경우(직무분리 위반) 점검,1,Y,10,"신청자와 배포자 분리, 교차검증 체계 구축"
R062,사후승인 배포,변경관리,MEDIUM,5,전자금융감독규정,제21조 정보처리시스템 구축 내부통제 절차 체결이행감사,deploy_log,배포일시가 CR 최종결재일보다 앞선 사후승인 배포 건 점검,1,Y,5,"긴급배포 외 사전승인 원칙 준수, 사후승인 최소화"
R063,긴급배포 과다 발생,변경관리,MEDIUM,5,전자금융감독규정,제21조 정보처리시스템 안전성신뢰성 확보 내부통제,deploy_log,월별 긴급배포(yn_emergency='Y') 비율이 전체 PRD 배포의 10% 초과 점검,0,N,0,긴급배포 사유 분석 및 정규 변경관리 유도
R064,정보시스템 정기 감리 미수행,운영통제,MEDIUM,5,전자금융감독규정,제22조 정보처리시스템 감리 지침 수립운용,sys_account,시스템별 최근 1년 내 권한검토(감리)가 수행되지 않은 시스템 점검,0,N,0,연 1회 이상 정보시스템 감리 및 권한검토 실시
R065,권한검토 장기 미수행 계정,접근통제,MEDIUM,5,전자금융감독규정,제22조 정보처리시스템 안전성 확보 감리 지침,sys_account,권한검토 경과일수 180일 초과 계정(yn_overdue_review='Y') 점검,12,Y,5,180일 주기 계정 권한검토 수행 및 기록
R066,비밀번호 장기 미변경,접근통제,MEDIUM,5,전자금융감독규정,제34조의2 안전한 인증방법 사용,sys_account,비밀번호 변경 후 90일 초과 경과 ACTIVE 계정 점검,28,Y,5,90일 주기 비밀번호 변경 정책 강제 적용
R067,관리자 계정 과다 부여,접근통제,MEDIUM,5,전자금융감독규정,제19조제1항 암호프로그램 담당자 외 이용 통제,sys_account,시스템별 ADMIN 권한 계정이 5개 초과인 경우 점검,0,N,0,관리자 계정 최소화 및 정기 검토
R068,로그인 실패 다발 계정,접근통제,MEDIUM,5,전자금융감독규정,제34조의2 안전한 인증방법 사용,access_log,동일 계정으로 일 5회 이상 로그인 실패 발생 점검,0,N,0,5회 실패 시 계정 잠금 및 보안팀 통보
R069,백업 복구테스트 미수행,운영통제,MEDIUM,5,전자금융감독규정,제11조제1호 재해복구센터 국내 설치 및 재해대비,backup_log,FULL 백업 중 복구테스트(yn_restore_test='N') 미수행 건 점검,0,N,0,FULL 백업 시 주기적 복구테스트 수행
R070,주요시스템 백업 누락,운영통제,HIGH,10,전자금융감독규정,제11조제3호 전산실 안전 보안 재해위해방지,backup_log,핵심시스템(CORE)의 최근 7일 내 성공 백업이 없는 경우 점검,1,Y,10,핵심시스템 일일 백업 정책 수립 및 이행
